TRANSACTION_ID,TX_DATETIME,TX_TIME_SECONDS,TX_TIME_DAYS,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD,TX_FRAUD_SCENARIO,CUSTOMER_LAT,CUSTOMER_LON,TERMINAL_LAT,TERMINAL_LON
TX000000022444,2025-01-08T00:00:22,22,7,C0008536,T000769,36.83,0,,41.78648202359907,-88.06069261913206,41.81336522036147,-88.06208595818953
TX000000022993,2025-01-08T00:00:32,32,7,C0012352,T002185,36.01,0,,42.00901077864208,-87.3990071054833,42.04137674729795,-87.32006480807705
TX000000023783,2025-01-08T00:00:42,42,7,C0017675,T000854,18.4,0,,41.537731175551926,-87.62896534179767,41.56656145712495,-87.60397620269603
TX000000023182,2025-01-08T00:01:50,110,7,C0013589,T002340,53.58,0,,41.865968102890996,-87.5616334704485,41.896766461842915,-87.55375369398975
TX000000023869,2025-01-08T00:02:22,142,7,C0018120,T000619,12.17,0,,41.92528881822773,-87.66687246035126,41.967169598249924,-87.73772546764991
TX000000023940,2025-01-08T00:02:23,143,7,C0018568,T002094,45.76,0,,41.93540756525525,-88.05716302160192,41.92273085993127,-88.17651227180053
TX000000021918,2025-01-08T00:02:45,165,7,C0005190,T001450,30.38,0,,42.00768830770503,-87.47112896300162,42.06927861880995,-87.42439595987955
TX000000021748,2025-01-08T00:03:16,196,7,C0004020,T000361,58.71,0,,42.12423442466116,-87.45055345117443,42.20562244270811,-87.40978244114983
TX000000024158,2025-01-08T00:03:28,208,7,C0008740,T002200,50.0,1,STOLEN_CARD_FAR_BURST,41.68502993555028,-87.71562166807874,42.31942268324031,-87.38518439254423
TX000000024051,2025-01-08T00:03:32,212,7,C0019308,T002652,9.15,0,,42.14514952865484,-87.3858111848047,42.20250398501739,-87.38274768477729
TX000000024156,2025-01-08T00:03:42,222,7,C0008740,T000700,109.53,1,STOLEN_CARD_FAR_BURST,41.68502993555028,-87.71562166807874,42.0797116364786,-87.07683148736895
TX000000024157,2025-01-08T00:03:52,232,7,C0008740,T000661,50.0,1,STOLEN_CARD_FAR_BURST,41.68502993555028,-87.71562166807874,41.37538059451435,-87.96496265234383
TX000000022584,2025-01-08T00:04:16,256,7,C0009465,T001394,24.48,0,,42.26368887205508,-87.58114986101705,42.19867105618217,-87.51264718598254
TX000000022822,2025-01-08T00:04:30,270,7,C0011138,T002582,47.68,0,,41.85130977816303,-87.23244997872477,41.85005313534357,-87.18532036631593
TX000000022280,2025-01-08T00:04:33,273,7,C0007570,T000394,52.08,0,,42.1534394326419,-87.76540290233302,42.17799976087907,-87.74764188133722
TX000000023715,2025-01-08T00:04:38,278,7,C0017229,T002040,103.86,0,,41.73578989050094,-87.83870909033762,41.69122100738257,-87.8551436036263
TX000000021785,2025-01-08T00:05:12,312,7,C0004288,T001194,38.67,0,,41.7348983852585,-87.79115872023891,41.77200136150152,-87.83546991145333
TX000000023770,2025-01-08T00:05:13,313,7,C0017587,T000086,35.24,0,,42.17587042079857,-87.96474775339959,42.20893535483011,-88.00328967690162
TX000000022222,2025-01-08T00:05:26,326,7,C0007236,T000820,31.94,0,,41.87423970502259,-87.63178757963026,41.90929161927699,-87.57815987675244
TX000000022576,2025-01-08T00:05:28,328,7,C0009408,T001411,6.66,0,,41.54966019790707,-87.69731312103058,41.57903002699705,-87.65968340629696
TX000000021306,2025-01-08T00:05:40,340,7,C0001280,T000188,53.94,0,,41.91437334882854,-87.26691451783131,41.913864099606286,-87.21321865476322
TX000000023978,2025-01-08T00:06:00,360,7,C0018781,T000363,30.76,0,,41.664115754343406,-87.92264690581462,41.58385249396356,-87.97376489994846
TX000000022162,2025-01-08T00:06:05,365,7,C0006792,T001940,33.33,0,,41.52467143603264,-87.62765071271694,41.534614821541744,-87.50968550255644
TX000000021319,2025-01-08T00:06:24,384,7,C0001338,T000855,32.43,0,,42.104716689850804,-87.25294829438047,42.04822633519924,-87.26470638773692
TX000000021237,2025-01-08T00:06:55,415,7,C0000885,T000979,14.18,0,,41.97840979957984,-87.26513026475595,41.92885187385141,-87.36487965456959
TX000000023302,2025-01-08T00:07:37,457,7,C0014525,T001720,73.1,0,,41.87747500607668,-87.69681478584883,41.892414359946756,-87.72995928442602
TX000000023551,2025-01-08T00:08:09,489,7,C0016139,T000198,8.23,0,,41.95279369266629,-87.88474846883979,41.992338835468225,-87.97364096560504
TX000000021123,2025-01-08T00:09:01,541,7,C0000016,T002594,20.29,0,,41.44520816618866,-87.73007615003938,41.393911889892586,-87.63339136639671
TX000000022180,2025-01-08T00:09:28,568,7,C0006898,T001673,63.6,0,,42.11070252619068,-87.47556185763,42.18236755950833,-87.5167924259001
TX000000021640,2025-01-08T00:09:44,584,7,C0003395,T000052,16.37,0,,41.581929375901304,-87.8204797993128,41.56140003446024,-87.83192896902429
TX000000023909,2025-01-08T00:09:45,585,7,C0018358,T000041,32.11,0,,41.460943179693,-87.75478740762777,41.430695897947736,-87.65354982891748
TX000000023177,2025-01-08T00:10:22,622,7,C0013549,T000107,19.04,0,,41.500077979700784,-87.8395549971703,41.43085453747355,-87.91130510447593
TX000000022881,2025-01-08T00:10:33,633,7,C0011599,T001331,86.69,0,,42.14362148110626,-87.79927271491682,42.05580071614425,-87.77798243918205
TX000000021971,2025-01-08T00:10:49,649,7,C0005487,T002508,222.52,0,,41.61630584179697,-87.59227948514074,41.570969762767426,-87.56535685189095
TX000000023793,2025-01-08T00:10:52,652,7,C0017705,T000026,26.71,0,,42.1558326313739,-87.58776707148209,42.08056185037888,-87.5516869805547
TX000000021356,2025-01-08T00:11:07,667,7,C0001578,T000739,7.2,0,,41.956831408171126,-87.43824404528087,41.94565131483399,-87.41395674691567
TX000000021381,2025-01-08T00:11:24,684,7,C0001746,T000781,27.21,0,,41.76731878663756,-87.76968912361718,41.71262426422993,-87.76549154056738
TX000000022086,2025-01-08T00:11:31,691,7,C0006325,T002617,24.51,0,,41.87809413653916,-88.02243289772854,41.9316059871653,-87.96880380081002
TX000000023467,2025-01-08T00:11:42,702,7,C0015582,T001898,92.82,0,,41.730115055406024,-87.34722953920955,41.73213359295883,-87.45455548887192
TX000000022163,2025-01-08T00:12:01,721,7,C0006792,T002056,187.19,0,,41.52467143603264,-87.62765071271694,41.49815563174869,-87.52160155026723
TX000000023285,2025-01-08T00:12:53,773,7,C0014363,T000315,46.35,0,,42.16105437459206,-87.32473594715155,42.10594416665428,-87.41713723672717
